State,Mean_Rate,Gun_Control_Law
Alaska,23.153125,1
Alabama,25.515624999999996,1
Arkansas,22.034374999999997,1
Arizona,19.656250000000004,1
California,8.521875,5
Colorado,17.246875,4
Connecticut,6.628125,5
Delaware,12.4875,4
Florida,14.196875,2
Georgia,19.434375000000003,1
Hawaii,4.6375,4
Iowa,11.11875,1
Idaho,17.503125,1
Illinois,14.246875,5
Indiana,18.0,1
Kansas,16.665625000000002,1
Kentucky,18.790625,1
Louisiana,28.018750000000004,2
Massachusetts,3.7656250000000004,5
Maryland,13.037499999999998,4
Maine,12.831249999999999,2
Michigan,14.6,2
Minnesota,9.481250000000001,3
Missouri,22.978125000000002,1
Mississippi,29.540625000000002,1
Montana,23.246874999999996,1
North Carolina,16.828125,2
North Dakota,14.924999999999999,1
Nebraska,11.381250000000001,2
New Hampshire,10.140625,1
New Jersey,4.940625,4
New Mexico,26.525000000000002,3
Nevada,18.896875,2
New York,5.1,5
Ohio,15.4625,1
Oklahoma,19.946875,1
Oregon,14.862499999999999,4
Pennsylvania,14.46875,3
Rhode Island,4.1875,3
South Carolina,20.409375,1
South Dakota,14.234375,1
Tennessee,21.58125,1
Texas,15.215625,1
Utah,13.89375,1
Virginia,14.659375,3
Vermont,12.503125,2
Washington,12.915625,4
Wisconsin,13.656249999999998,2
West Virginia,17.2375,1
Wyoming,22.149999999999995,1
